time,neuron,synapse,da,fru,res,brain_state,w_mean,w_max,spikes,energy,5ht,ach
500.0,80,795,0.5848528387989785,0.0,0.2,AWAKE,0.05212406598320398,0.25,1,1.0,0.5121174608295459,0.6180453513125788
1000.0,80,795,0.670168555840439,0.0,0.2,AWAKE,0.05212406598320398,0.25,1,1.0,0.523500757374315,0.6896416860701226
1500.0,80,795,0.7391457251404179,0.0,0.2,AWAKE,0.05212406598320398,0.25,1,1.0,0.5341943706691223,0.7330659725305082
2000.0,80,795,0.7897046037325754,0.0,0.2,AWAKE,0.05212406598320398,0.25,1,1.0,0.5442400867627991,0.75940347515518
2500.0,80,795,0.8065181957971292,0.0,0.2,AWAKE,0.05212406598320398,0.25,1,1.0,0.5536771600001249,0.7753775786131032
3000.0,80,795,0.749021017934954,0.0,0.2,AWAKE,0.05212406598320398,0.25,33,0.999375,0.56254246641096,0.7850661198890452
3500.0,80,795,0.7814774818566113,0.0,0.2,AWAKE,0.05212406598320398,0.25,82,0.99875,0.5708706478059123,0.7909423703029058
4000.0,80,795,0.8235296183661724,0.0,0.2,AWAKE,0.05231428737544233,0.25,302,0.99375,0.5786942471416953,0.7945064072350814
4500.0,80,795,0.8575821142180422,0.0,0.2,AWAKE,0.056705173893942404,0.6307181611970528,845,0.9675,0.5860438356849913,0.7966680508614222
5000.0,80,795,0.8761389561249942,0.0,0.2,AWAKE,0.05668433515485331,0.605367881481432,1004,0.96675,0.5929481324718576,0.7979791212168192
5500.0,80,795,0.864202412395146,0.0,0.2,AWAKE,0.05663422586379981,0.6053678814812588,1004,0.9719999999999999,0.5994341165293658,0.7987743057032225
6000.0,80,795,0.8040519189618649,0.0,0.2,AWAKE,0.05663422586379981,0.6053678814812588,1004,0.97725,0.6055271322980882,0.7992565974161049
6500.0,80,795,0.8279602492424873,0.0,0.2,AWAKE,0.05663422586379981,0.6053678814812588,1004,0.9824999999999999,0.6112509886672512,0.7995491148133792
7000.0,80,795,0.8604733941669818,0.0,0.2,AWAKE,0.05663422586379981,0.6053678814812588,1004,0.9877500000000001,0.6166280520096806,0.7997265311475673
7500.0,80,795,0.8872506289700979,0.0,0.2,AWAKE,0.05663422586379981,0.6053678814812588,1004,0.9887499999999999,0.6216793335799579,0.7998341369034271
8000.0,80,795,0.9034320434243199,0.0,0.2,AWAKE,0.05663422586379981,0.6053678814812588,1004,0.9897500000000001,0.6264245716174021,0.799899401461775
8500.0,80,795,0.8852598702600958,0.0,0.2,AWAKE,0.05663422586379981,0.6053678814812588,1019,0.9899999999999999,0.6308823084746191,0.799938985427729
9000.0,80,795,0.8294058028709506,0.0,0.2,AWAKE,0.05663422586379981,0.6053678814812588,1054,0.99025,0.6350699630730556,0.7999629937164601
9500.0,80,795,0.8496345647421653,0.0,0.2,AWAKE,0.05663422586379981,0.6053678814812588,1054,0.9912499999999997,0.6390038989686723,0.7999775551155989
10000.0,80,795,0.87772567560983,0.0,0.2,AWAKE,0.05663422586380197,0.6053678814812588,1236,0.9870000000000001,0.6426994882936858,0.799986386829815
10500.0,80,795,0.899796684445875,0.0,0.2,AWAKE,0.05663422586380197,0.6053678814812588,1446,0.98275,0.6461711718242562,0.7999917434013374
11000.0,80,795,0.9100055891240915,0.0,0.2,AWAKE,0.05636682937109945,0.575244280713516,1505,0.9829999999999999,0.6494325154088543,0.7999949922449705
11500.0,80,795,0.882187626047293,0.0,0.2,AWAKE,0.056366829371098506,0.5752442807127596,1547,0.98325,0.6524962629777642,0.7999969627189782
12000.0,80,795,0.8388876053648338,0.0,0.2,AWAKE,0.056366829371098506,0.5752442807127596,1571,0.9835,0.6553743863408845,0.799998157841994
