time,dopamine,serotonin,acetylcholine,frustration,resilience,courage,spike_rate,w_mean
500.0,0.5848528387989785,0.5121174608295459,0.6180453513125788,0.0,0.2,0.2,0.0,0.05212406598320398
1000.0,0.670168555840439,0.523500757374315,0.6896416860701226,0.0,0.2,0.2,0.0,0.05212406598320398
1500.0,0.7391457251404179,0.5341943706691223,0.7330659725305082,0.0,0.2,0.2,0.0,0.05212406598320398
2000.0,0.7897046037325754,0.5442400867627991,0.75940347515518,0.0,0.2,0.2,0.0,0.05212406598320398
2500.0,0.8065181957971292,0.5536771600001249,0.7753775786131032,0.0,0.2,0.2,0.0,0.05212406598320398
3000.0,0.749021017934954,0.56254246641096,0.7850661198890452,0.0,0.2,0.2,0.875,0.05212406598320398
3500.0,0.7814774818566113,0.5708706478059123,0.7909423703029058,0.0,0.2,0.2,1.25,0.05212406598320398
4000.0,0.8235296183661724,0.5786942471416953,0.7945064072350814,0.0,0.2,0.2,5.375,0.052508361730993665
4500.0,0.8576064121668507,0.5860438356849913,0.7966680508614222,0.0,0.2,0.2,17.375,0.0678958086775573
5000.0,0.8738526126369546,0.5929481324718576,0.7979791212168192,0.0,0.2,0.2,5.0,0.07026270169578004
5500.0,0.8612771110841904,0.5994341165293658,0.7987743057032225,0.0,0.2,0.2,0.0,0.07011031511445753
6000.0,0.8017737062495278,0.6055271322980882,0.7992565974161049,0.0,0.2,0.2,0.0,0.07011031511445753
6500.0,0.8261859864876635,0.6112509886672512,0.7995491148133792,0.0,0.2,0.2,0.0,0.07011031511445753
7000.0,0.8590916055806439,0.6166280520096806,0.7997265311475673,0.0,0.2,0.2,0.0,0.07011031511445753
7500.0,0.8861744976630854,0.6216793335799579,0.7998341369034271,0.0,0.2,0.2,0.0,0.07011031511445753
8000.0,0.9025939567579611,0.6264245716174021,0.799899401461775,0.0,0.2,0.2,0.0,0.07011031511445753
8500.0,0.8846071717875674,0.6308823084746191,0.799938985427729,0.0,0.2,0.2,0.375,0.07011031511445753
9000.0,0.8288974839665417,0.6350699630730556,0.7999629937164601,0.0,0.2,0.2,0.875,0.07011031511445753
9500.0,0.8492386880556817,0.6390038989686723,0.7999775551155989,0.0,0.2,0.2,0.0,0.07011031511445753
10000.0,0.8774173684633924,0.6426994882936858,0.799986386829815,0.0,0.2,0.2,4.375,0.07011031511446089
10500.0,0.8995565760995401,0.6461711718242562,0.7999917434013374,0.0,0.2,0.2,5.25,0.07011031511446089
11000.0,0.9098185937247061,0.6494325154088543,0.7999949922449705,0.0,0.2,0.2,2.5,0.07065824392889203
11500.0,0.8805278473970926,0.6524962629777642,0.7999969627189782,0.0,0.2,0.2,1.0,0.07050333115929805
12000.0,0.8375949765315542,0.6553743863408845,0.799998157841994,0.0,0.2,0.2,0.625,0.07050333115929651
12500.0,0.8590258917456846,0.6580781319684244,0.7999988827026215,0.0,0.2,0.2,0.0,0.07050333115929651
13000.0,0.8853489405486032,0.6606180649372945,0.7999993223418248,0.0,0.2,0.2,0.0,0.07050333115929651
13500.0,0.9063721040989245,0.6630041102148628,0.7999995889898147,0.0,0.2,0.2,0.0,0.07050333115929651
14000.0,0.9160727083917968,0.6652455914414904,0.7999997507159539,0.0,0.2,0.2,0.0,0.07050333115929651
14500.0,0.8823722466583839,0.6673512673633032,0.7999998488053645,0.0,0.2,0.2,0.0,0.07050333115929651
15000.0,0.8456445831221509,0.6693293660576052,0.7999999082981085,0.0,0.2,0.2,1.0,0.07050333115929651
15500.0,0.8662507787487781,0.6711876170846771,0.7999999443813813,0.0,0.2,0.2,2.0,0.07061362532116476
16000.0,0.8908545556351868,0.6729332816915888,0.7999999662664485,0.0,0.2,0.2,12.875,0.0886451943068886
16500.0,0.9075258390368803,0.6745731811860213,0.7999999795400815,0.0,0.2,0.2,15.125,0.10574447357287134
17000.0,0.9062068876750693,0.6761137235910172,0.7999999875907431,0.0,0.2,0.2,2.25,0.1057265439430031
17500.0,0.8631620862356517,0.677560928684766,0.7999999924735924,0.0,0.2,0.2,0.0,0.1057265439430031
18000.0,0.8384844799498323,0.6789204515233316,0.7999999954351196,0.0,0.2,0.2,0.0,0.1057265439430031
18500.0,0.8627001652096238,0.6801976045381848,0.799999997231331,0.0,0.2,0.2,0.0,0.1057265439430031
19000.0,0.8886692375557621,0.6813973782948822,0.799999998320759,0.0,0.2,0.2,0.0,0.1057265439430031
19500.0,0.9085347058162101,0.6825244609940792,0.7999999989815139,0.0,0.2,0.2,0.0,0.1057265439430031
20000.0,0.9146278617441761,0.6835832567909791,0.7999999993822724,0.0,0.2,0.2,0.0,0.1057265439430031
20500.0,0.8654577793604716,0.6845779030048973,0.7999999996253383,0.0,0.2,0.2,0.625,0.1057265439430031
21000.0,0.8463602034274038,0.685512286286131,0.7999999997727614,0.0,0.2,0.2,1.125,0.1057265439430031
21500.0,0.8696807121529961,0.6863900578033155,0.7999999998621757,0.0,0.2,0.2,0.0,0.1057265439430031
22000.0,0.89426628081025,0.6872146475106181,0.799999999916407,0.0,0.2,0.2,5.25,0.10572654394301359
22500.0,0.9114586363698927,0.6879892775505302,0.799999999949299,0.0,0.2,0.2,5.25,0.10572654394301359
23000.0,0.91147622074048,0.6887169748446099,0.7999999999692478,0.0,0.2,0.2,1.25,0.10529173313217077
23500.0,0.8515178951732796,0.6894005829214069,0.7999999999813453,0.0,0.2,0.2,0.875,0.10529173313216741
24000.0,0.8438821659334523,0.690042773027738,0.7999999999886809,0.0,0.2,0.2,0.5,0.10529173313216741
24500.0,0.8694693712514654,0.6906460545667732,0.7999999999931269,0.0,0.2,0.2,0.0,0.10529173313216741
25000.0,0.8942219399289917,0.6912127849037131,0.7999999999958252,0.0,0.2,0.2,0.0,0.10529173313216741
25500.0,0.9122228275383997,0.6917451785773665,0.79999999999745,0.0,0.2,0.2,0.0,0.10529173313216741
26000.0,0.9131652914025269,0.6922453159535855,0.7999999999984475,0.0,0.2,0.2,0.0,0.10529173313216741
26500.0,0.8458199793715544,0.6927151513544771,0.7999999999990026,0.0,0.2,0.2,0.0,0.10529173313216741
27000.0,0.8437923206999967,0.693156520695034,0.7999999999994448,0.0,0.2,0.2,1.125,0.10529173313216741
27500.0,0.869793970138568,0.6935711486571143,0.7999999999994448,0.0,0.2,0.2,5.0,0.10667820877729423
28000.0,0.8936831459079949,0.6939606554287462,0.7999999999994448,0.0,0.2,0.2,18.125,0.11988284662658075
28500.0,0.905522068451152,0.694326563035137,0.7999999999994448,0.0,0.2,0.2,12.0,0.12438235209063375
29000.0,0.8940389945371449,0.6946703012860883,0.7999999999994448,0.0,0.2,0.2,1.25,0.12300228841734095
29500.0,0.8182103238104881,0.6949932133630846,0.7999999999994448,0.0,0.2,0.2,0.0,0.12300228841734095
30000.0,0.8271083602070399,0.6952965610678582,0.7999999999994448,0.0,0.2,0.2,0.0,0.12300228841734095
30500.0,0.8579508387414629,0.6955815297529842,0.7999999999994448,0.0,0.2,0.2,0.0,0.12300228841734095
31000.0,0.885381176050889,0.695849232953708,0.7999999999994448,0.0,0.2,0.2,0.0,0.12300228841734095
31500.0,0.9044242270922769,0.6961007167391887,0.7999999999994448,0.0,0.2,0.2,0.0,0.12300228841734095
32000.0,0.901130826786783,0.6963369638000664,0.7999999999994448,0.0,0.2,0.2,0.0,0.12300228841734095
32500.0,0.8162066995244708,0.6965588972884146,0.7999999999994448,0.0,0.2,0.2,0.75,0.12300228841734095
33000.0,0.8290016473152839,0.6967673844250076,0.7999999999994448,0.0,0.2,0.2,1.25,0.12300228841734095
33500.0,0.8597576938142562,0.6969632398880388,0.7999999999994448,0.0,0.2,0.2,3.5,0.12329404640979486
34000.0,0.8862153569673852,0.697147228996567,0.7999999999994448,0.0,0.2,0.2,5.25,0.12329404640980499
34500.0,0.902934284591314,0.6973200707010171,0.7999999999994448,0.0,0.2,0.2,3.5,0.12329404640980499
35000.0,0.8926012108594803,0.6974824403925509,0.7999999999994448,0.0,0.2,0.2,1.125,0.12307318059069892
35500.0,0.8147541899307595,0.697634972542197,0.7999999999994448,0.0,0.2,0.2,0.75,0.12307318059069652
36000.0,0.8328141925878401,0.6977782631801027,0.7999999999994448,0.0,0.2,0.2,0.0,0.12307318059069652
36500.0,0.8636243093586835,0.6979128722245448,0.7999999999994448,0.0,0.2,0.2,0.0,0.12307318059069652
37000.0,0.889790630854445,0.6980393256698695,0.7999999999994448,0.0,0.2,0.2,0.0,0.12307318059069652
37500.0,0.9065727479029608,0.6981581176418425,0.7999999999994448,0.0,0.2,0.2,0.0,0.12307318059069652
38000.0,0.8947214455134425,0.6982697123284767,0.7999999999994448,0.0,0.2,0.2,0.0,0.12307318059069652
38500.0,0.8241318059475546,0.6983745457938924,0.7999999999994448,0.0,0.2,0.2,0.0,0.12307318059069652
39000.0,0.842578483506278,0.6984730276822521,0.7999999999994448,0.0,0.2,0.2,1.25,0.12307318059069652
39500.0,0.871418868452716,0.6985655428184961,0.7999999999994448,0.0,0.2,0.2,14.625,0.12437676836487806
40000.0,0.892684129273374,0.698652452712044,0.7999999999994448,0.0,0.2,0.2,18.375,0.1173545743678618
40500.0,0.8995602259472391,0.698734096969435,0.7999999999994448,0.0,0.2,0.2,5.75,0.11936991003176946
41000.0,0.8765452189873779,0.6988107946213737,0.7999999999994448,0.0,0.2,0.2,1.125,0.1190453212233353
41500.0,0.822192422373248,0.6988828453693429,0.7999999999994448,0.0,0.2,0.2,0.0,0.11904532122333097
42000.0,0.8437032934617046,0.6989505307567307,0.7999999999994448,0.0,0.2,0.2,0.0,0.11904532122333097
42500.0,0.8729770195733506,0.6990141152689625,0.7999999999994448,0.0,0.2,0.2,0.0,0.11904532122333097
43000.0,0.8969257756572813,0.6990738473670132,0.7999999999994448,0.0,0.2,0.2,0.0,0.11904532122333097
43500.0,0.9103347335198814,0.6991299604582749,0.7999999999994448,0.0,0.2,0.2,0.0,0.11904532122333097
44000.0,0.8869436059988276,0.6991826738086087,0.7999999999994448,0.0,0.2,0.2,0.375,0.11904532122333097
44500.0,0.836615971743554,0.699232193399152,0.7999999999994448,0.0,0.2,0.2,0.875,0.11904532122333097
45000.0,0.8566669458810254,0.6992787127312013,0.7999999999994448,0.0,0.2,0.2,1.375,0.11904532122333097
45500.0,0.8831304081418885,0.6993224135823368,0.7999999999994448,0.0,0.2,0.2,4.875,0.11959241247679508
46000.0,0.9038027202176764,0.6993634667167078,0.7999999999994448,0.0,0.2,0.2,4.75,0.11959241247679508
46500.0,0.9124647853869521,0.6994020325523406,0.7999999999994448,0.0,0.2,0.2,0.0,0.11959241247679508
47000.0,0.882138457548576,0.6994382617879623,0.7999999999994448,0.0,0.2,0.2,1.0,0.11959241247678912
47500.0,0.8442352513735818,0.6994722959918668,0.7999999999994448,0.0,0.2,0.2,0.625,0.11959241247678912
