time,dopamine,serotonin,acetylcholine,frustration,resilience,courage,spike_rate,w_mean
500.0,0.5848528387989785,0.5121174608295459,0.6180453513125788,0.0,0.2,0.2,0.0,0.05086427086234673
1000.0,0.670168555840439,0.523500757374315,0.6896416860701226,0.0,0.2,0.2,0.0,0.05086427086234673
1500.0,0.7391457251404179,0.5341943706691223,0.7330659725305082,0.0,0.2,0.2,0.0,0.05086427086234673
2000.0,0.7897046037325754,0.5442400867627991,0.75940347515518,0.0,0.2,0.2,0.0,0.05086427086234673
2500.0,0.8065181957971292,0.5536771600001249,0.7753775786131032,0.0,0.2,0.2,0.0,0.05086427086234673
3000.0,0.749021017934954,0.56254246641096,0.7850661198890452,0.0,0.2,0.2,0.875,0.05086427086234673
3500.0,0.7814774818566113,0.5708706478059123,0.7909423703029058,0.0,0.2,0.2,1.25,0.05086427086234673
4000.0,0.8235296183661724,0.5786942471416953,0.7945064072350814,0.0,0.2,0.2,5.25,0.05086427086234673
4500.0,0.8576305943499489,0.5860438356849913,0.7966680508614222,0.0,0.2,0.2,11.875,0.05086427086234673
5000.0,0.8767144368447826,0.5929481324718576,0.7979791212168192,0.0,0.2,0.2,4.125,0.05086427086234673
5500.0,0.8646505944291187,0.5994341165293658,0.7987743057032225,0.0,0.2,0.2,0.0,0.05086427086234673
6000.0,0.8044009612992895,0.6055271322980882,0.7992565974161049,0.0,0.2,0.2,0.0,0.05086427086234673
6500.0,0.8282320819891835,0.6112509886672512,0.7995491148133792,0.0,0.2,0.2,0.0,0.05086427086234673
7000.0,0.8606850963997861,0.6166280520096806,0.7997265311475673,0.0,0.2,0.2,0.0,0.05086427086234673
7500.0,0.8874155018042924,0.6216793335799579,0.7998341369034271,0.0,0.2,0.2,0.0,0.05086427086234673
8000.0,0.90356044571415,0.6264245716174021,0.799899401461775,0.0,0.2,0.2,0.0,0.05086427086234673
8500.0,0.8853598694389453,0.6308823084746191,0.799938985427729,0.0,0.2,0.2,0.375,0.05086427086234673
9000.0,0.8294836818229809,0.6350699630730556,0.7999629937164601,0.0,0.2,0.2,0.875,0.05086427086234673
9500.0,0.849695216551906,0.6390038989686723,0.7999775551155989,0.0,0.2,0.2,0.0,0.05086427086234673
10000.0,0.8777729109915191,0.6426994882936858,0.799986386829815,0.0,0.2,0.2,4.375,0.05086427086234673
10500.0,0.8998334711682021,0.6461711718242562,0.7999917434013374,0.0,0.2,0.2,5.25,0.05086427086234673
11000.0,0.9100342384731845,0.6494325154088543,0.7999949922449705,0.0,0.2,0.2,1.5,0.05086427086234673
11500.0,0.882209938043349,0.6524962629777642,0.7999969627189782,0.0,0.2,0.2,1.0,0.05086427086234673
12000.0,0.8389049818562266,0.6553743863408845,0.799998157841994,0.0,0.2,0.2,0.625,0.05086427086234673
12500.0,0.8600461185417159,0.6580781319684244,0.7999988827026215,0.0,0.2,0.2,0.0,0.05086427086234673
13000.0,0.886143489010154,0.6606180649372945,0.7999993223418248,0.0,0.2,0.2,0.0,0.05086427086234673
13500.0,0.906990895195382,0.6630041102148628,0.7999995889898147,0.0,0.2,0.2,0.0,0.05086427086234673
14000.0,0.9165546203702142,0.6652455914414904,0.7999997507159539,0.0,0.2,0.2,0.0,0.05086427086234673
14500.0,0.8827475577387685,0.6673512673633032,0.7999998488053645,0.0,0.2,0.2,0.0,0.05086427086234673
15000.0,0.8459368738585671,0.6693293660576052,0.7999999082981085,0.0,0.2,0.2,1.0,0.05086427086234673
15500.0,0.8664784135804167,0.6711876170846771,0.7999999443813813,0.0,0.2,0.2,1.25,0.05086427086234673
16000.0,0.8911758594994461,0.6729332816915888,0.7999999662664485,0.0,0.2,0.2,6.75,0.05086427086234673
16500.0,0.9093564843012751,0.6745731811860213,0.7999999795400815,0.0,0.2,0.2,7.375,0.05086427086234673
17000.0,0.9130063403317512,0.6761137235910172,0.7999999875907431,0.0,0.2,0.2,1.375,0.05086427086234673
17500.0,0.8700344709095107,0.677560928684766,0.7999999924735924,0.0,0.2,0.2,0.0,0.05086427086234673
18000.0,0.8438366650630249,0.6789204515233316,0.7999999954351196,0.0,0.2,0.2,0.0,0.05086427086234673
18500.0,0.8668684251143464,0.6801976045381848,0.799999997231331,0.0,0.2,0.2,0.0,0.05086427086234673
19000.0,0.8919154613439664,0.6813973782948822,0.799999998320759,0.0,0.2,0.2,0.0,0.05086427086234673
19500.0,0.9110628516430028,0.6825244609940792,0.7999999989815139,0.0,0.2,0.2,0.0,0.05086427086234673
20000.0,0.916596771387663,0.6835832567909791,0.7999999993822724,0.0,0.2,0.2,0.0,0.05086427086234673
20500.0,0.8669911581486478,0.6845779030048973,0.7999999996253383,0.0,0.2,0.2,0.625,0.05086427086234673
21000.0,0.8475543925644278,0.685512286286131,0.7999999997727614,0.0,0.2,0.2,1.125,0.05086427086234673
21500.0,0.8706107417751505,0.6863900578033155,0.7999999998621757,0.0,0.2,0.2,0.0,0.05086427086234673
22000.0,0.8949905840812062,0.6872146475106181,0.799999999916407,0.0,0.2,0.2,5.25,0.05086427086234673
22500.0,0.9120227207988394,0.6879892775505302,0.799999999949299,0.0,0.2,0.2,5.25,0.05086427086234673
23000.0,0.9119155273896948,0.6887169748446099,0.7999999999692478,0.0,0.2,0.2,1.25,0.05086427086234673
23500.0,0.8518600253973074,0.6894005829214069,0.7999999999813453,0.0,0.2,0.2,0.875,0.05086427086234673
24000.0,0.8441486155544677,0.690042773027738,0.7999999999886809,0.0,0.2,0.2,0.5,0.05086427086234673
24500.0,0.8696768811279751,0.6906460545667732,0.7999999999931269,0.0,0.2,0.2,0.0,0.05086427086234673
25000.0,0.89438354777323,0.6912127849037131,0.7999999999958252,0.0,0.2,0.2,0.0,0.05086427086234673
25500.0,0.9123486870673945,0.6917451785773665,0.79999999999745,0.0,0.2,0.2,0.0,0.05086427086234673
26000.0,0.9132633102896237,0.6922453159535855,0.7999999999984475,0.0,0.2,0.2,0.0,0.05086427086234673
26500.0,0.8458963160804609,0.6927151513544771,0.7999999999990026,0.0,0.2,0.2,0.0,0.05086427086234673
27000.0,0.8438517714170855,0.693156520695034,0.7999999999994448,0.0,0.2,0.2,1.125,0.05086427086234673
27500.0,0.8698402701142056,0.6935711486571143,0.7999999999994448,0.0,0.2,0.2,3.375,0.05086427086234673
28000.0,0.8940219434867471,0.6939606554287462,0.7999999999994448,0.0,0.2,0.2,12.125,0.05086427086234673
28500.0,0.908173181117933,0.694326563035137,0.7999999999994448,0.0,0.2,0.2,5.5,0.05086427086234673
29000.0,0.9026516283960133,0.6946703012860883,0.7999999999994448,0.0,0.2,0.2,1.25,0.05086427086234673
29500.0,0.8249178078807782,0.6949932133630846,0.7999999999994448,0.0,0.2,0.2,0.0,0.05086427086234673
30000.0,0.832332121403722,0.6952965610678582,0.7999999999994448,0.0,0.2,0.2,0.0,0.05086427086234673
30500.0,0.8620190826245671,0.6955815297529842,0.7999999999994448,0.0,0.2,0.2,0.0,0.05086427086234673
31000.0,0.8885495077699772,0.695849232953708,0.7999999999994448,0.0,0.2,0.2,0.0,0.05086427086234673
31500.0,0.906891710893799,0.6961007167391887,0.7999999999994448,0.0,0.2,0.2,0.0,0.05086427086234673
32000.0,0.9030524930927688,0.6963369638000664,0.7999999999994448,0.0,0.2,0.2,0.0,0.05086427086234673
32500.0,0.8177032853943691,0.6965588972884146,0.7999999999994448,0.0,0.2,0.2,0.75,0.05086427086234673
33000.0,0.8301671822778325,0.6967673844250076,0.7999999999994448,0.0,0.2,0.2,1.25,0.05086427086234673
33500.0,0.8606654076823681,0.6969632398880388,0.7999999999994448,0.0,0.2,0.2,3.5,0.05086427086234673
34000.0,0.8869222808202373,0.697147228996567,0.7999999999994448,0.0,0.2,0.2,5.25,0.05086427086234673
34500.0,0.9034848340004296,0.6973200707010171,0.7999999999994448,0.0,0.2,0.2,3.5,0.05086427086234673
35000.0,0.8930299764905405,0.6974824403925509,0.7999999999994448,0.0,0.2,0.2,1.125,0.05086427086234673
35500.0,0.8150881108529011,0.697634972542197,0.7999999999994448,0.0,0.2,0.2,0.75,0.05086427086234673
36000.0,0.8330742488380789,0.6977782631801027,0.7999999999994448,0.0,0.2,0.2,0.0,0.05086427086234673
36500.0,0.8638268401041527,0.6979128722245448,0.7999999999994448,0.0,0.2,0.2,0.0,0.05086427086234673
37000.0,0.8899483609717744,0.6980393256698695,0.7999999999994448,0.0,0.2,0.2,0.0,0.05086427086234673
37500.0,0.9066955874740739,0.6981581176418425,0.7999999999994448,0.0,0.2,0.2,0.0,0.05086427086234673
38000.0,0.894817112469678,0.6982697123284767,0.7999999999994448,0.0,0.2,0.2,0.0,0.05086427086234673
38500.0,0.8242063109823077,0.6983745457938924,0.7999999999994448,0.0,0.2,0.2,0.0,0.05086427086234673
