time,neuron,synapse,da,fru,res,brain_state,w_mean,w_max,spikes,energy,5ht,ach
500.0,40,198,0.595898815521293,0.0,0.2,AWAKE,0.04787189389540313,0.09958137017811276,0,1.0,0.5125,0.65
1000.0,40,198,0.6895592716894647,0.0,0.2,AWAKE,0.04787189389540313,0.09958137017811276,0,1.0,0.52421875,0.7250000000000001
1500.0,40,198,0.7626680751208076,0.0,0.2,AWAKE,0.04787189389540313,0.09958137017811276,0,1.0,0.535205078125,0.7625000000000001
2000.0,40,198,0.8139280222230186,0.0,0.2,AWAKE,0.04787189389540313,0.09958137017811276,0,1.0,0.5455047607421875,0.78125
2500.0,40,198,0.8268745202202056,0.0,0.2,AWAKE,0.04787189389540313,0.09958137017811276,0,1.0,0.5551607131958007,0.790625
3000.0,40,198,0.7568033910080395,0.0,0.2,AWAKE,0.04787189389540313,0.09958137017811276,32,0.99875,0.5642131686210632,0.7953125
3500.0,40,198,0.7907108792666686,0.0,0.2,AWAKE,0.04787189389540313,0.09958137017811276,81,0.9974999999999999,0.5726998455822467,0.79765625
4000.0,40,198,0.8355755552847397,0.0,0.2,AWAKE,0.04787189389540313,0.09958137017811276,143,0.9962500000000001,0.5806561052333563,0.798828125
4500.0,40,198,0.8715242116280129,0.0,0.2,AWAKE,0.07592242299166924,0.6790358081526817,368,0.9675,0.5881150986562715,0.7994140625
5000.0,40,198,0.8877210302133083,0.0,0.2,AWAKE,0.07545128447508526,0.6174342107334295,427,0.9717500000000001,0.5951079049902546,0.7997070312500001
5500.0,40,198,0.8729560876068638,0.0,0.2,AWAKE,0.07545128447507954,0.6174342107331533,427,0.9775,0.6016636609283637,0.7998535156250001
6000.0,40,198,0.8027869016909059,0.0,0.2,AWAKE,0.07545128447507954,0.6174342107331533,427,0.98325,0.6078096821203409,0.7999267578125
6500.0,40,198,0.8301238259998445,0.0,0.2,AWAKE,0.07545128447507954,0.6174342107331533,427,0.9890000000000001,0.6135715769878196,0.79996337890625
7000.0,40,198,0.8663285743990556,0.0,0.2,AWAKE,0.07545128447507954,0.6174342107331533,427,0.99475,0.6189733534260808,0.7999816894531251
7500.0,40,198,0.8951278222386135,0.0,0.2,AWAKE,0.07545128447507954,0.6174342107331533,427,0.9949999999999999,0.6240375188369508,0.7999908447265626
8000.0,40,198,0.911446403285132,0.0,0.2,AWAKE,0.07545128447507954,0.6174342107331533,427,0.9952500000000001,0.6287851739096414,0.7999954223632812
8500.0,40,198,0.8889050221680586,0.0,0.2,AWAKE,0.07545128447507954,0.6174342107331533,442,0.994,0.6332361005402888,0.7999977111816406
9000.0,40,198,0.8239955653701115,0.0,0.2,AWAKE,0.07545128447507954,0.6174342107331533,477,0.99275,0.6374088442565208,0.7999988555908204
9500.0,40,198,0.8475630452942705,0.0,0.2,AWAKE,0.07545128447507954,0.6174342107331533,477,0.993,0.6413207914904883,0.7999994277954102
10000.0,40,198,0.8798288819366714,0.0,0.2,AWAKE,0.07545128447507954,0.6174342107331533,477,0.9932500000000001,0.6449882420223327,0.7999997138977051
10500.0,40,198,0.9051330948196392,0.0,0.2,AWAKE,0.07545128447507954,0.6174342107331533,477,0.9935,0.6484264768959369,0.7999998569488526
11000.0,40,198,0.9177831339393487,0.0,0.2,AWAKE,0.0749758393095287,0.6174342107331533,537,0.99225,0.6516498220899408,0.7999999284744264
11500.0,40,198,0.8818182061095653,0.0,0.2,AWAKE,0.07497583930951675,0.6174342107331533,579,0.991,0.6546717082093195,0.7999999642372132
12000.0,40,198,0.8351100113404917,0.0,0.2,AWAKE,0.07497583930951675,0.6174342107331533,603,0.9897500000000001,0.657504726446237,0.7999999821186066
12500.0,40,198,0.8603305515669644,0.0,0.2,AWAKE,0.07497583930951675,0.6174342107331533,603,0.99,0.6601606810433472,0.7999999910593033
13000.0,40,198,0.8897541184631568,0.0,0.2,AWAKE,0.07497583930951675,0.6174342107331533,603,0.99025,0.662650638478138,0.7999999955296517
13500.0,40,198,0.9124127418791013,0.0,0.2,AWAKE,0.07497583930951675,0.6174342107331533,603,0.9904999999999999,0.6649849735732544,0.7999999977648259
14000.0,40,198,0.9218659924353567,0.0,0.2,AWAKE,0.07497583930951675,0.6174342107331533,603,0.9907499999999999,0.6671734127249259,0.7999999988824129
14500.0,40,198,0.882330149445252,0.0,0.2,AWAKE,0.07497583930951675,0.6174342107331533,603,0.991,0.6692250744296181,0.7999999994412065
15000.0,40,198,0.8408318747520341,0.0,0.2,AWAKE,0.07497583930951675,0.6174342107331533,641,0.9897500000000001,0.671148507277767,0.7999999997206033
