time,neuron,synapse,da,fru,res,brain_state,w_mean,w_max,spikes,energy,5ht,ach
500.0,40,203,0.595898815521293,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,0,1.0,0.5125,0.65
1000.0,40,203,0.6895592716894647,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,0,1.0,0.52421875,0.7250000000000001
1500.0,40,203,0.7626680751208076,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,0,1.0,0.535205078125,0.7625000000000001
2000.0,40,203,0.8139280222230186,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,0,1.0,0.5455047607421875,0.78125
2500.0,40,203,0.8268745202202056,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,0,1.0,0.5551607131958007,0.790625
3000.0,40,203,0.7568033910080395,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,32,0.99875,0.5642131686210632,0.7953125
3500.0,40,203,0.7907108792666686,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,81,0.9974999999999999,0.5726998455822467,0.79765625
4000.0,40,203,0.8355755552847397,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,143,0.9962500000000001,0.5806561052333563,0.798828125
4500.0,40,203,0.8715242116280129,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,286,0.99375,0.5881150986562715,0.7994140625
5000.0,40,203,0.8933500667474195,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,345,0.99275,0.5951079049902546,0.7997070312500001
5500.0,40,203,0.8771778650074473,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,345,0.99325,0.6016636609283637,0.7998535156250001
6000.0,40,203,0.8059532347413435,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,345,0.99375,0.6078096821203409,0.7999267578125
6500.0,40,203,0.8324985757876726,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,345,0.9942500000000001,0.6135715769878196,0.79996337890625
7000.0,40,203,0.8681096367399268,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,345,0.99475,0.6189733534260808,0.7999816894531251
7500.0,40,203,0.8964636189942669,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,345,0.9949999999999999,0.6240375188369508,0.7999908447265626
8000.0,40,203,0.9124482508518721,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,345,0.9952500000000001,0.6287851739096414,0.7999954223632812
8500.0,40,203,0.8896564078431136,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,360,0.994,0.6332361005402888,0.7999977111816406
9000.0,40,203,0.8245591046264029,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,395,0.99275,0.6374088442565208,0.7999988555908204
9500.0,40,203,0.847985699736489,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,395,0.993,0.6413207914904883,0.7999994277954102
10000.0,40,203,0.8801458727683352,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,395,0.9932500000000001,0.6449882420223327,0.7999997138977051
10500.0,40,203,0.9053708379433871,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,395,0.9935,0.6484264768959369,0.7999998569488526
11000.0,40,203,0.9179614412821596,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,453,0.99225,0.6516498220899408,0.7999999284744264
11500.0,40,203,0.8819519366166735,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,495,0.991,0.6546717082093195,0.7999999642372132
12000.0,40,203,0.8352103092208227,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,519,0.9897500000000001,0.657504726446237,0.7999999821186066
12500.0,40,203,0.8604057749772127,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,519,0.99,0.6601606810433472,0.7999999910593033
13000.0,40,203,0.889810536020843,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,519,0.99025,0.662650638478138,0.7999999955296517
13500.0,40,203,0.912455055047366,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,519,0.9904999999999999,0.6649849735732544,0.7999999977648259
14000.0,40,203,0.9218977273115552,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,519,0.9907499999999999,0.6671734127249259,0.7999999988824129
14500.0,40,203,0.8823539506024008,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,519,0.991,0.6692250744296181,0.7999999994412065
15000.0,40,203,0.8408497256198958,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,557,0.9897500000000001,0.671148507277767,0.7999999997206033
15500.0,40,203,0.864752372495943,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,611,0.9884999999999999,0.6729517255729065,0.7999999998603017
16000.0,40,203,0.8928224881646225,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,676,0.9872499999999998,0.6746422427245998,0.7999999999301508
16500.0,40,203,0.9138078642142535,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,740,0.986,0.6762271025543123,0.7999999999650754
17000.0,40,203,0.9194601648651757,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,795,0.98475,0.6777129086446678,0.7999999999825378
17500.0,40,203,0.8664681311604259,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,795,0.985,0.6791058518543761,0.7999999999912689
18000.0,40,203,0.8377515310859185,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,795,0.98525,0.6804117361134776,0.7999999999956344
18500.0,40,203,0.8653028041427687,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,795,0.9855,0.6816360026063852,0.7999999999978172
19000.0,40,203,0.894001819840866,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,795,0.98575,0.6827837524434861,0.7999999999989087
19500.0,40,203,0.9151201903640114,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,795,0.986,0.6838597679157682,0.7999999999994544
20000.0,40,203,0.9203601702855407,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,795,0.9862500000000001,0.6848685324210326,0.7999999999997272
20500.0,40,203,0.8633561455375627,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,818,0.985,0.6858142491447181,0.7999999999998636
21000.0,40,203,0.8412148274203317,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,860,0.98375,0.6867008585731732,0.7999999999999319
21500.0,40,203,0.868330614745421,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,860,0.984,0.6875320549123499,0.799999999999966
22000.0,40,203,0.896454209033457,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,860,0.98425,0.688311301480328,0.799999999999983
22500.0,40,203,0.9166338497758084,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,860,0.9844999999999999,0.6890418451378075,0.7999999999999915
23000.0,40,203,0.9192434420509059,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,913,0.98325,0.6897267298166946,0.7999999999999958
23500.0,40,203,0.8466397871245591,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,949,0.982,0.6903688092031511,0.7999999999999979
24000.0,40,203,0.8405233215260147,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,965,0.9807500000000001,0.6909707586279542,0.7999999999999989
24500.0,40,203,0.8704734047537656,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,965,0.9810000000000001,0.6915350862137071,0.7999999999999995
25000.0,40,203,0.8981972060708625,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,965,0.98125,0.6920641433253504,0.7999999999999998
25500.0,40,203,0.9175475975136791,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,965,0.9814999999999999,0.692560134367516,0.7999999999999999
26000.0,40,203,0.9172815569879109,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,965,0.9817499999999999,0.6930251259695462,0.8
26500.0,40,203,0.8401402974570227,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,965,0.982,0.6934610555964495,0.8
27000.0,40,203,0.8392686026209945,0.0,0.2,AWAKE,0.051424946161276915,0.09990669379827281,1009,0.9807500000000001,0.6938697396216714,0.8
